english,reference_odia,greedy_prediction_odia
"""""""Of course, it's in the Indian Constitution -- religious freedom, respect for religious minorities, and equal treatment of all religions.""","ଭାରତୀୟ ସମ୍ବିଧାନରେ ଧାର୍ମିକ ସ୍ୱାଧୀନତା, ଧାର୍ମିକ ସଂଖ୍ୟାଲଘୁଙ୍କ ପ୍ରତି ସମ୍ମାନ ଏବଂ ସବୁ ଧର୍ମ ପ୍ରତି ସମବ୍ୟବହାର ପ୍ରସଙ୍ଗ ଉଲ୍ଲେଖ ଅଛି।",ସେ କହିଛନ୍ତି ଯେ ଭାରତୀୟ କ୍ରିକେଟ୍ ଦଳର ସମସ୍ତ ପ୍ରକାରରେ ଭାରତର ଏକ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ଭୂମିକା ଗ୍ରହଣ କରିବା ପାଇଁ ଭାରତୀୟ କ୍ରିକେଟ୍ ଦଳର ଅଧିନାୟକ ।
This solar eclipse will also be visible in India.,ଏହି ସୂର୍ଯ୍ୟପରାଗ ଭାରତରେ ଦୃଶ୍ୟମାନ ହେବ।,ଏହା ଭାରତ ପକ୍ଷରୁ ଏହି ସୁବିଧା ମଧ୍ୟ ଗୁରୁତ୍ୱ ପ୍ରଦାନ କରାଯିବ ।
Several houses were flooded as a result of this.,ଫଳରେ ଏଠାରେ ଥିବା ଅନେକ ଘର ଅତଡ଼ା ତଳେ ପୋତି ହୋଇଯାଇଛି।,ଫଳରେ ଅନେକ ଘର ଭିତରେ ଅନେକ ଘର ଭାଙ୍ଗି ଯାଇଛି।
"Apart from senior Congress leaders, NCP president Sharad Pawar is also expected to remain present at this meeting.",ଉଦ୍ଧବଙ୍କ ନେତା ବାଛିବା ଅବସରରେ କଂଗ୍ରେସର ବହୁ ବରିଷ୍ଠ ନେତା ସହ ଏନସିପି ମୁଖିଆ ଶରଦ ପାୱାର ମଧ୍ୟ ଉପସ୍ଥିତ ଥିଲେ ।,"ଏହି ବୈଠକରେ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ଅମିତ ଶାହ, କଂଗ୍ରେସ ନେତା ନରସିଂହ ମିଶ୍ର, ବରିଷ୍ଠ ନେତା ଓ ବରିଷ୍ଠ ନେତା ମଧ୍ୟ ଉପସ୍ଥିତ ଥିଲେ।"
Chief Minister Naveen Patnaik thanked all the contributors.,ଏହା ପରେ ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ ସମସ୍ତଙ୍କୁ ଧନ୍ୟବାଦ ଜଣାଇଥିଲେ।,ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ ଏହି ଅବସରରେ ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ ।
There is an attack.,ସେଠାରେ ଏକପାଖିଆ ଆକ୍ରମଣ ହେଉଛି।,ଆକ୍ରମଣ ପରେ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ।
Both husband and wife died on the spot.,ଫଳରେ ଘଟଣାସ୍ଥଳରେ ହିଁ ଦମ୍ପତିଙ୍କ ମଧ୍ୟରୁ ସ୍ୱାମୀଙ୍କ ମୃତ୍ୟୁ ହୋଇଥିଲା।,ଘଟଣାସ୍ଥଳରେ ଦୁଇ ଭାଇ ଓ ପତ୍ନୀଙ୍କ ମୃତ୍ୟୁ ହୋଇଛି।
But they dont know what they say.,ହେଲେ ସେମାନେ କେତେ କଥା କୁହନ୍ତି ସେ ବିଷୟରେ ସମସ୍ତଙ୍କୁ ଜଣା ନଥିବ ।,କିନ୍ତୁ ସେମାନେ ଜାଣି ନ ଥିଲେ।
Love affairs can be successful.,ପ୍ରେମ-ପ୍ରସଙ୍ଗରେ ସଫଳତା ମିଳିବାର ସମ୍ଭାବନା ଅଛି।,ଏହି ସଫଳତା ମିଳିବ।
The shocking incident took place at Sompur village under the Chandbali police station in the district.,ସମ୍ବଲପୁର ଧନୁପାଲି ଥାନା ଅନ୍ତର୍ଗତ କୁମ୍ଭାରପଡା ଅଞ୍ଚଳରେ ଏଭଳି ଏକ ଅଭାବନୀୟ ଘଟଣା ଘଟିଛି।,ଏହି ଘଟଣା ଘଟିଛିପୁର ଥାନା ଅନ୍ତର୍ଗତ ଜିଲ୍ଲା ମୁଖ୍ୟ ଭୂମିକାରେ ଅଞ୍ଚଳରେ।
All work will be completed without any hindrance.,ବିନା ବାଧା ବିଘ୍ନରେ କାମ ସଂପନ୍ନ ହେବ।,ସମସ୍ତ କାମର କାର୍ଯ୍ୟ କରିବେ।
nd copy),ୟ ପ୍ରତିଲିପି), ⁇ S ⁇ S ⁇ 
He lodged a complaint with the Simhadwar police.,ଏ ନେଇ ସେ ସହିଦନଗର ଥାନାରେ ଅଭିଯୋଗ କରିଥିଲେ।,ଅଭିଯୋଗ ପରେ ସେ ଅଭିଯୋଗ କରିଥିଲେ।
The delegation [],ଏହି ପ୍ରତିନିଧି ଦଳ […],[...]
Prime Minister Narendra Modi too greeted to him through twitter.,ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ମଧ୍ୟ ବୋରିସଙ୍କୁ ଟୁଇଟ୍ କରି ଶୁଭେଚ୍ଛା ଜଣାଇଛନ୍ତି।,ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ତାଙ୍କ ସହିତ ଆଲୋଚନା କରିଥିଲେ।
"Panchamrit is prepared using yogurt, milk, sugar, honey and ghee.","କ୍ଷୀର, ସର ,ଚିନି, ମିଶ୍ରି ଓ ଚିନି ମିଶାଇ ଅଣସର ପଣା ପ୍ରସ୍ତୁତ ହୋଇଥାଏ ।","""ତା, """" ⁇ , """" ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ o ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a ⁇ a"
I thank them from the bottom of my heart.,ମୁଁ ସେମାନଙ୍କୁ ମୋ ହୃଦୟରୁ ପ୍ରଶଂସା କରୁଛି।,ମୁଁ ଜଣେ ପୁରୁଷମାନେ ମାେତେ ଗ୍ରହଣ କରେ।
ends with,ସହିତ ଶେଷ ହୋଇଥାଏ,ଆମାମ୍ବିଂ
The exhibition intends to acquaint the public with more than 400 works of Dhanraj Bhagat on the theme of Journey from the Physical to the Spiritual.,ପ୍ରଦର୍ଶନୀର ଉଦ୍ଦେଶ୍ୟ ଧନରାଜ ଭଗତଙ୍କ 400ରୁ ଅଧିକ କୃତି ‘ଭୌତିକରୁ ଆଧ୍ୟାତ୍ମିକ ଯାତ୍ରା’ ବିଷୟରେ ସାଧାରଣ ଜନତାଙ୍କୁ ପରିଚିତ କରାଇବା ।,ଏହି ଯୋଜନାଗୁଡ଼ିକ ମଧ୍ୟରେ ଅଧିକ ସଂଖ୍ୟାରେ ଥିବା ଆଇଏନଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏ-ଏଭିଭିଭିଭିସାଧନକୁ ଅଧିକ ସମୟ ଧରିବାରେ ଲାଗିଛି ।
You might be lucky.,ଭାଗ୍ୟବାନ୍ ହୋଇପାରନ୍ତି ।,ଆପଣ ନିଜ ଜୀବନ ସୁଖମୟ ହେବ।
Prime Minister Narendra Modi expressed grief over the incident.,ଏହି ଘଟଣାକୁ ନିନ୍ଦା କରିବା ସହ ଶୋକ ପ୍ରକାଶ କରିଛନ୍ତି ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ।,ଏହି ଘଟଣା ପରେ ପ୍ରଧାନମନ୍ତ୍ରୀ ନରେନ୍ଦ୍ର ମୋଦି ଦୁଃଖ ପ୍ରକାଶ କରିଛନ୍ତି।
"If I give an example from Manipur itself, then a village here has become an important milestone in India's development journey.",ଯଦି ମୁଁ ମଣିପୁରରୁ ହିଁ ଏକ ଉଦାହରଣ ଦେବି ତ ଏଠାକାର ଗାଁର ନାମ ଭାରତର ବିକାଶ ଯାତ୍ରାରେ ଏକ ପ୍ରମୁଖ ପେଣ୍ଠସ୍ଥଳ ହୋଇଛି ।,"ଯଦି ମୁଁ ଆଜି ମୋତେ ଏକ ବଡ଼ ସଫଳତା ହାସଲ କରିଥିଲି, ମୁଁ ଭାରତ-ବିଦ୍ୟାଳୟରେ ବିଶ୍ୱାଳଧ୍ୱୀ, ଯାହା ଫଳରେ ଭାରତ, ଯାହା ଫଳରେ ଅନେକ ଉଦାହରଣ ।"
Treatment is going on.,ଏବେ ଚିକିତ୍ସା ଚାଲିଛି।, ⁇ S ⁇ S ⁇ S ⁇ S ⁇ S ⁇ 
"One cyclist dies, another hurt in accident","ବାଇକ ଦୁର୍ଘଟଣାରେ ଚାଲିଗଲା ଜଣଙ୍କ ଜୀବନ, ଅନ୍ୟ ଜଣେ ଗୁରୁତର",ଜଣେ ଗୁରୁତର ଆହତ ହୋଇଛନ୍ତି।
"NCP chief Sharad Pawar(L), Shiv Sena chief Uddhav Thackeray (M) and Congress interim president Sonia Gandhi.","କଂଗ୍ରେସ ପକ୍ଷରୁ ସୋନିଆ ଗାନ୍ଧି, ମହାରଷ୍ଟ୍ର ମୁଖ୍ୟମନ୍ତ୍ରୀ ତଥା ଶିବସେନା ଅଧ୍ୟକ୍ଷ ଉଦ୍ଧବ ଠାକରେ, ଏନସିପି ସୁପ୍ରିମୋ ଶରଦ ପାୱାର, ବାମ ନେତା ସୀତାରାମ ୟେଚୁରୀ ଓ ଡି. ରାଜା, ଡିଏମକେ ମୁଖ୍ୟ ଏମ୍.",କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଓ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଓ ବିଜେପି ରାଷ୍ଟ୍ରୀୟ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ ଏବଂ କଂଗ୍ରେସ ଅଧ୍ୟକ୍ଷ ରାହୁଲ ଗାନ୍ଧୀ।
There is a possibility of money loss.,ଧନହାନୀର ସମ୍ଭାବନା ରହିଛି।,ଟଙ୍କା ଖର୍ଚ୍ଚ ମଧ୍ୟ ଟଙ୍କା।
She said that crude oil prices were falling in the international market but petroleum prices in the country were rising.,"ସେହିପରି ପେଟ୍ରୋଲ ଦର ବୃଦ୍ଧି ସଂପର୍କରେ ସେ କହିଛନ୍ତି ବର୍ତ୍ତମାନ ଆନ୍ତର୍ଜାତୀୟ ବଜାରରେ ଅଶୋଧିତ ତୈଳ ଦର କମ ଅଛି, ହେଲେ ଦେଶର ବିକାଶ ପାଇଁ ପେଟ୍ରୋଲ ଉପରେ ଟିକସ ବସାଯାଇଛି।","ସେ କହିଛନ୍ତି ଯେ, ଦେଶରେ କରୋନା ସଂକ୍ରମଣରେ ବୃଦ୍ଧି ପାଇଛି ଯେ, ଦେଶର ବିଭିନ୍ନ ସ୍ଥାନରେ ରହିଛି ।"
The entire city is dolled up.,ସଜେଇ ହେଲାଣି ପୁରା ସହର ।,ଏହି ଦିନ ସାରା ବିଶ୍ୱରେ ଏକ ବଡ଼ ଧରଣର ରହିଛି।
The rain will come.,ମୌସୁମୀ ଆସିବ।,ବର୍ଷା ହେବ।
He couldnt be contacted later.,ଏହାପରେ ତାଙ୍କ ସହ ଯୋଗାଯୋଗ ହୋଇପାରି ନଥିଲା।,ପରେ ସେ ମଧ୍ୟ ସେ କୌଣସି ନିଷ୍ପତ୍ତି ନେଇଥିଲେ।
But nothing is visible so far.,ମାତ୍ର ଅଳ୍ପ କିଛି ଦୂରରୁ କିଛି ଦେଖାଯାଉନି ।,କିନ୍ତୁ ଏପର୍ଯ୍ୟନ୍ତ କିଛି ନୁହେଁ।
"I am attempting something like this for the first time and Im very excited about it, Yami said in a statement.",ଏପରି ଭୂମିକା ସେ ପ୍ରଥମ ଥର କରୁଛନ୍ତି ଓ ଏଥିପାଇଁ ସେ ଖୁବ୍ ଉତ୍ସାହିତ ବୋଲି ୟାମି କହିଛନ୍ତି ।,ମୁଁ ଏହି ସମୟରେ ମୁଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା ପାଇଁ ବହୁତ ଭଲ ପାଇବା।
"But, through multiple transformations.","ରୂପାନ୍ତର, ଯାହାର ଲକ୍ଷ୍ୟ ହେଉଛି –","କିନ୍ତୁ, କିନ୍ତୁ, କିନ୍ତୁ, କିନ୍ତୁ, କିନ୍ତୁ ବିଭିନ୍ନ ପ୍ରକାର ବ୍ୟବସ୍ଥା କରାଯାଇଛି।"
The bike crashed into a car coning from the opposite direction.,ବାଇକଟି ଧକ୍କା ଖାଇ ବିପରୀତ ଦିଗରୁ ଆସୁଥିବା ଏହି ଆଇଚର ଟ୍ରକରେ ଧକ୍କା ହୋଇଥିଲା ।,ଗାଡିରୁ ଅଧିକ ପରିମାଣରେ କାରରୁ ଅଧିକ ତଦନ୍ତ ଆରମ୍ଭ କରିଛି।
He did not have the courage.,ସେ ସାହସ ବି ପାଉନଥିଲା କାହାର ।,ସେ ବି ସେ ବି କାମ କରୁ ନାହାନ୍ତି।
One from the BJP and another from the TMC.,ଜଣେ ବିଜେପିରୁ ଆଉ ଜଣେ କଂଗ୍ରେସରୁ ।,ଜଣେ ବିଜେପି ଓ ଗୋଟିଏ ଲେଖାଏଁ ବିଜେପି ଓ ଗୋଟିଏ ଲେଖାଏଁ ସଦସ୍ୟ ଅଛନ୍ତି।
The rate of growth of the State is higher than of national average.,ଅଭିବୃଦ୍ଧି ହାର ଜାତୀୟ ସ୍ତର ଠାରୁ ଅଧିକ ରହିଛି ।,ରାଜ୍ୟ ସରକାର ଦେଶର ବିଭିନ୍ନ ପ୍ରକାର ଆର୍ଥିକ ସ୍ଥିତିର ପ୍ରଭାବ।
"While the womans in-laws claimed that she committed suicide, her parents alleged that she was murdered.",ମହିଳା ଜଣକ ଆତ୍ମହତ୍ୟା କରିଥିବା ନେଇ ତାଙ୍କ ଶାଶୁ ଘର ଲୋକ କହୁଥିବା ବେଳେ ମୃତ ଯମୁନାଙ୍କ ବାପା ଏହାକୁ ହତ୍ୟାକାଣ୍ଡ ବୋଲି ଅଭିଯୋଗ କରିଛନ୍ତି।,"ତାଙ୍କ ପରିବାର ଲୋକେ ହତ୍ୟା କରିଥିବା ଅଭିଯୋଗ କରିଛନ୍ତି ଯେ ସେ ଅଭିଯୋଗ କରିଛନ୍ତି ଯେ, ତାଙ୍କ ବାପାଙ୍କ ଆତ୍ମହତ୍ୟା କରିଛନ୍ତି।"
Heavy rainfall was also expected.,ମଧ୍ୟ ପ୍ରବଳ ବର୍ଷା ହେବାର ସମ୍ଭାବନା ରହିଛି।,ସେହିପରି ପ୍ରବଳ ବର୍ଷା ମଧ୍ୟ ପ୍ରବଳ ବର୍ଷା ହେବାର ସମ୍ଭାବନା ରହିଛି।
But thats history.,ମାତ୍ର ପରେ ଯାହା ହେଲା ତାହା ହେଉଛି ଇତିହାସ ।,କିନ୍ତୁ ଏହା ସମ୍ପୂର୍ଣ୍ଣ ଭାବେ ।
"But tidings out of the east and out of the north shall trouble him: therefore he shall go forth with great fury to destroy, and utterly to make away many.",ମାତ୍ର ପୂର୍ବ ଓ ଉତ୍ତର ଦେଶରୁ ଆଗତ ସମ୍ବାଦ ତାହାକୁ ଉଦ୍ବିଗ୍ନ କରିବ। ତହିଁରେ ସେ ଅନକଙ୍କେୁ ଉଚ୍ଛିନ୍ନ ଓ ସମ୍ପୂର୍ଣ୍ଣରୂପେ ବିନାଶ କରିବା ପାଇଁ ମହା କୋପ ରେ ୟାତ୍ରା କରିବ।,କିନ୍ତୁ ଏହା ସହିତ ଅନ୍ୟ ଦେଶ ରେ ବାସ କରୁଥିବା ଲୋକଙ୍କ ସହିତ ଅନ୍ୟ ଦେଶ ରେ ବାସ କରିବ।
He also considered sanitation to be a way of fulfilling the dream of Swaraj.,ସେ ସ୍ୱରାଜ୍ୟର ସ୍ୱପ୍ନର ପୂର୍ତ୍ତିର ଏକ ମାର୍ଗ ଭାବେ ସ୍ୱଚ୍ଛତାକୁ ବି ମାନୁଥିଲେ ।,ସେ ଆହୁରି ମଧ୍ୟ କହିଛନ୍ତି ଯେ ସେ ଏକ ବଡ଼ ସଫଳତା ହାସଲ କରିବା ପାଇଁ ଏକଜୁଆପଣ ଭାବେ ମଧ୍ୟ କହିଛନ୍ତି ।
Rajeeva were present.,ରାଜୀବ ରଞ୍ଜନ ଉପସ୍ଥିତ ଥିଲେ।,ଏଥିରେ ଯୋଗ ଦେଇଥିଲେ।
She did not divulge any specific reason of resignation in the letter.,ସେ କେଉଁ କାରଣରୁ ଇସ୍ତଫା ପ୍ରଦାନ କରିଛନ୍ତି ସେସମ୍ପର୍କରେ ତାଙ୍କ ପତ୍ରରେ ସେପରି ଉଲ୍ଲେଖ ପ୍ରଦାନ କରିନାହାନ୍ତି ।,ସେ କେଉଁ କାରଣରୁ ତାଙ୍କ ନାଁ ସୂଚନା ମିଳିନାହିଁ।
But this cannot continue any more.,ହେଲେ ଆଉ ଆଗକୁ ବଢ଼ିପାରନ୍ତି ନାହିଁ।,କିନ୍ତୁ ଏ ପର୍ଯ୍ୟନ୍ତ କୌଣସି ପ୍ରଭାବ ନାହିଁ।
It will take home time.,ଫଳରେ ସମୟ ବଞ୍ôଚବ ।,ଘରେ ସୁଖ ଘରକୁ ଫେରିବେ।
The police then launched a search.,ଏହାପରେ ପୁଲିସ ତନାଘନା ଆରମ୍ଭ କରିଥିଲା ।,ଏହାପରେ ପୋଲିସ ଏକ ଟିମ୍ ଗଠନ କରିଥିଲା।
The students participated in a painting and essay writing competition.,ଉଭୟ ଚିତ୍ରାଙ୍କନ ଓ ପ୍ରବନ୍ଧ ଲିଖନ ପ୍ରତିଯୋଗିତାରେ ଲକ୍ଷାଧିକ ବିଦ୍ୟାର୍ଥୀ ଭାଗ ନେଇଥିଲେ।,ଏହି କାର୍ଯ୍ୟକ୍ରମରେ ବହୁ ସଂଖ୍ୟାରେ ଛାତ୍ର ଛାତ୍ରୀ ଓ ଛାତ୍ରଛାତ୍ରୀ ଓ ଛାତ୍ରଛାତ୍ରୀ ଉପସ୍ଥିତ ଥିଲେ।
Government has not taken any step yet.,ବର୍ତ୍ତମାନ ସୁଦ୍ଧା ସରକାର କୌଣସି ସ୍ଥାୟୀ ପଦକ୍ଷେପ ନେଇନାହାନ୍ତି ।,ସରକାର କୌଣସି ପଦକ୍ଷେପ ଗ୍ରହଣ କରୁନାହିଁ।
"""""""False cases are being registered against Congressmen.""",“କଂଗ୍ରେସ କର୍ମୀଙ୍କ ବିରୋଧରେ ପୋଲିସ ମିଥ୍ୟା ମାମଲା ରୁଜୁ କରିଛି।,"କଂଗ୍ରେସ ବିରୋଧରେ ମାମଲା ରୁଜୁ କରି କହିଛନ୍ତି, କଂଗ୍ରେସ ବିରୋଧରେ ମାମଲା ରୁଜୁ କରାଯାଇଛି।"
BJP responds,ବିଜେଡି ଦେଲା ଜବାବ,ବିଜେପି...
He informed the police about the incident.,କିଶୋର ଘଟଣା ବିଷୟରେ ପୁଲିସକୁ ଜଣାଇଥିଲେ।,ଘଟଣା ସମ୍ପର୍କରେ ପୁଲିସକୁ ଖବର ଦେଇଥିଲେ।
They alleged that Government has not taken necessary steps.,ସେମାନେ ଅଭିଯୋଗ କରିଛନ୍ତି ଯେ ଏଥିପାଇଁ ସରକାର କିଛି ଠୋସ୍ ପଦକ୍ଷେପ ନେଉନାହାନ୍ତି।,ସରକାର ତୁରନ୍ତ ପଦକ୍ଷେପ ଗ୍ରହଣ କଲେ ନାହିଁ।
The AAP government appealed this decision in the Supreme Court.,ଆୟୋଗର ଏହି ନିଷ୍ପତ୍ତି ବିରୋଧରେ ଆପ୍ ହାଇକୋର୍ଟଙ୍କ ଦ୍ୱାରସ୍ଥ ହୋଇଛି ।,ଏ ନେଇ ରାଜ୍ୟ ସରକାର ସୁପ୍ରିମକୋର୍ଟରେ ଆବେଦନ କରିଛନ୍ତି।
Pinch of salt.,ଲୁଣର କଣ୍ଢେଇ।,ତେଲ ଗରମ କରନ୍ତୁ।
"Forget about Kashmir, don't even think about it.","କଶ୍ମୀର ବାବଦରେ ଭୁଲିଯାଅ, ଏହା ବିଶୟରେ ଭାବିବା ବି ଛାଡ଼ିଦିଅ।","ଏହା ସହିତ କଥା କହିପାରୁନି, କଥା ନୁହେଁ, କଥା ନୁହେଁ, କଥା ।"
One died. the other was gravely injured.,ଏଥିରେ ଜଣକର ମୃତ୍ୟୁ ହୋଇଥିବା ବେଳେ ଜଣେ ଗୁରୁତର ହୋଇଛନ୍ତି ।,ଏଥିରେ ଜଣଙ୍କର ମୃତ୍ୟୁ ହୋଇଥିବା ବେଳେ ଅନ୍ୟ ଜଣଙ୍କର ମୃତ୍ୟୁ ହୋଇଛି।
The incident happened in Bihar's Khagaria district.,ଏହି ଘଟଣା ବିହାରର ଖଗାଡ଼ିଆ ଜିଲ୍ଲାର…,ଏହି ଘଟଣା ଘଟିଛି।
"Several BJP MPs , legislators and former presidents were present in the meeting.","ଏହି ମିଶ୍ରଣ ପର୍ବରେ ବିଜୁ ଜନତା ଦଳର ସ୍ଥାନୀୟ ସାଂସଦ , ବିଧାୟକ ଏବଂ ବହୁ ବରିଷ୍ଠ ନେତାମାନେ ଉପସ୍ଥିତ ଥିଲେ ।",ଏହି ବୈଠକରେ ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା ତଥା ବିଜେପି ନେତା ଉପସ୍ଥିତ ଥିଲେ।
Punjab Congress has won the Ludhiana Municipal Corporation polls.,ଲୁଧିଆନା: ପଞ୍ଜାବର ଲୁଧିଆନା ପୌରପାଳିକା ନିର୍ବାଚନରେ କଂଗ୍ରେସ ବାଜି ମାରିନେଇଛି।,କଂଗ୍ରେସ-ବିଂର ମୁଖ୍ୟ ନିର୍ବାଚନ ଲଢୁଆଲସିନ୍।
You are playing with our lives.,ଆମର ଜୀବନ ସହିତ ଖେଳାଯାଉଛି।,ଆମ ପାଖରେ ସମୟ ବିତାଇବେ।
"Woman burnt alive, husband critical","ପୋଡ଼ି ହୋଇ ସ୍ତ୍ରୀ ମୃତ, ସ୍ୱାମୀ ଗୁରୁତର","ସ୍ୱାମୀ, ସ୍ୱାମୀ, ସ୍ୱାମୀ, ସ୍ୱାମୀ, ସ୍ୱାମୀ"
Not found it yet.,ହେଲେ ବି ମିଳୁନି।,ତେବେ ଏ ପର୍ଯ୍ୟନ୍ତ କୌଣସି ସ୍ପଷ୍ଟ ହୋଇନାହିଁ।
The relationship will remain strong.,ଏହା ଦ୍ବାରା ସମ୍ପର୍କ ବଳବତ୍ତର ରହିବ।,ଫଳରେ ଅନେକ ସମସ୍ୟା ମଧ୍ୟ ରହିବ।
BJP members too supported the demand by standing at their respective seats.,ବିରୋଧୀ ବିଜେପି ସଦସ୍ୟମାନେ ମଧ୍ୟ କଂଗ୍ରେସର ଏହି ଦାବିକୁ ସମର୍ଥନ କରି ନିଜ ନିଜ ଆସନରେ ଛିଡ଼ା ହୋଇଥିଲେ।,ବିଜେପି ନେତା ଓ ବିଜେଡିମାନେ ମଧ୍ୟ ସାମିଲ ହୋଇଥିଲେ।
You will be happy at work.,ଚାକିରିରେ ମନ ପ୍ରସନ୍ନ ରହିବ।,କାର୍ଯ୍ୟକ୍ଷେତ୍ରରେ ଖୁସି ହେବ।
This is not something new for the department.,ବିଭାଗ ପକ୍ଷରୁ ଏଭଳି ଅନିୟମିତତା ନୂଆ ନୁହେଁ।,ଏହା କେବଳ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୂଆ ନୁହେଁ।
The Air Force had announced a cash reward of Rs 5 lakh for information on the missing plane.,ପୂର୍ବରୁ ଉକ୍ତ ନିଖୋଜ ବିମାନ ସମ୍ପର୍କୀତ ତଥ୍ୟ କେହି ପ୍ରଦାନ କଲେ ପୁରସ୍କାର ସ୍ୱରୂପ ୫ ଲକ୍ଷ ଟଙ୍କା ଅର୍ଥରାଶି ପ୍ରଦାନ ଲାଗି ଆଇଏଏଫ୍ ଘୋଷଣା କରିଥିଲା ।,ଏହି ଘୋଷଣା ପାଇଁ ୫ ଲକ୍ଷ ଟଙ୍କା ଲେଖାଏଁ ସହାୟତା ଘୋଷଣା କରିଛନ୍ତି।
I wish you all the best and now you can raise your children on the right path. I wish your children get good education and you live a happy life.,"ଅନେକ ଅନେକ ଶୁଭକାମନା ଜଣାଉଛି, ଆଉ ଏବେ ଆପଣ ନିଜ ପରିବାରକୁ ସଠିକ ରାସ୍ତାରେ ନେଇ ଚାଲନ୍ତୁ, ପିଲାମାନଙ୍କର ବିକାଶ ହେଉ, ପଢ଼ା-ଲେଖା ଆଉ ଜୀବନକୁ ନେଇ ଆନନ୍ଦରେ ବଞ୍ଚନ୍ତୁ ଏହା ହେଉଛି ମୋର ଶୁଭକାମନା ।",ମୁଁ ଆପଣଙ୍କ ଜୀବନରେ ସୁଖ ଓ ଜୀବନ କାମନା କରୁଛି ।
"Subsequently, a search operation was launched.",ପରେ ସେଠାରେ ସର୍ଚ୍ଚ ଅପରେସନ କରାଯାଇଥିଲା।,ପରେ ପରେ ସର୍ଚ୍ଚ ଅପରେସନ ଆରମ୍ଭ ହୋଇଥିଲା।
Know about them.,ଜାଣନ୍ତୁ ସେମାନଙ୍କ ସଂପର୍କରେ।,ସେମାନଙ୍କ ବିଷୟରେ ସେମାନେ ଆସିବାର ।
Chief Minister Naveen Patnaik is scheduled to inaugurate it.,ଏହାକୁ ଉଦ୍ଘାଟନ କରିଛନ୍ତି ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ।,ମୁଖ୍ୟମନ୍ତ୍ରୀ ନବୀନ ପଟ୍ଟନାୟକ ଏହି ଘୋଷଣା କରିଛନ୍ତି।
Your day will be spent happily.,ସୁଖ-ଶାନ୍ତିରେ ଦିନଟି ଅତିବାହିତ ହେବ ।,ଦିନଟି ଆପଣଙ୍କ ଦିନ ହେବ।
